,model_0,model_1,model_2,model_3,model_4,model_5
Text Coherence,0.01371083007813322,0.7150006546880893,0.12069080052744556,0.41131379177625893,0.17090352023079747,0.06788915486182899
Academic Language Style,0.4652088184521418,0.23533326650958586,0.41131379177625893,0.23533326650958586,0.12069080052744556,0.0828374251588063
Use of Sources,0.27332167829229814,0.5228166539190886,0.12069080052744556,0.23533326650958586,0.05523425371806383,0.17090352023079747
Use of Arguments,0.20124262095772394,0.5838824207703652,0.5228166539190886,0.31530245208174557,0.7150006546880893,0.9272644735252321
Logic,0.0828374251588063,0.06788915486182899,0.10034824646229075,0.3613104285261787,0.9272644735252321,0.0828374251588063
